id,name,dutch_name
647,Baeolophus atricristatus,Zwartkruinmees
648,Baeolophus bicolor,Tweekleurige mees
649,Baeolophus inornatus,Grijze mees
650,Melospiza melodia,Zanggors
651,Spinus spinus,Sijs
652,Motacilla alba,Witte kwikstaart
653,Certhia americana,Amerikaanse boomkruiper
654,Bucorvus leadbeateri,Zuidelijke hoornraaf
655,Anthus pratensis,Graspieper
656,Anthus rubescens,Pacifische waterpieper
657,Tachycineta albilinea,Mangrovezwaluw
658,Poecile carolinensis,Carolinamees
659,Poecile atricapillus,Amerikaanse matkop
660,Poecile gambeli,Gambels mees
661,Poecile rufescens,Kastanjerugmees
662,Periparus ater,Zwarte mees
663,Chlorophanes spiza,Groene suikervogel
664,Estrilda astrild,Sint-Helenafazantje
665,Cyanistes caeruleus,Pimpelmees
666,Sphyrapicus varius,Geelbuiksapspecht
667,Petrochelidon pyrrhonota,Amerikaanse klifzwaluw
668,Troglodytes pacificus,Pacifische winterkoning
669,Troglodytes hiemalis,Oost-Amerikaanse winterkoning
670,Passer montanus,Ringmus
671,Passer domesticus,Huismus
672,Aphelocoma californica,Westelijke struikgaai
673,Amazilia yucatanensis,Yucatánamazilia
674,Amazilia tzacatl,Roodstaartamazilia
675,Dicrurus adsimilis,Treurdrongo
676,Amazilia violiceps,Violetkapamazilia
677,Lonchura punctulata,Muskaatvink
678,Tigrisoma mexicanum,Mexicaanse tijgerroerdomp
679,Porphyrio melanotus melanotus,404
680,Melanitta americana,Amerikaanse zee-eend
681,Spizella pallida,Bleke gors
682,Amazilia rutila,Kaneelkleurige amazilia
683,Zenaida aurita,Antilliaanse treurduif
684,Prunella modularis,Heggenmus
685,Falco tinnunculus,Torenvalk
686,Ixoreus naevius,Bonte lijster
687,Archilochus colubris,Robijnkeelkolibrie
688,Lampornis clemenciae,Blauwkeeljuweelkolibrie
689,Myiarchus tuberculifer,Monnikskaptiran
690,Setophaga ruticilla,Amerikaanse roodstaart
691,Myiarchus tyrannulus,Cayennetiran
692,Zosterops lateralis,Grijsrugbrilvogel
693,Zonotrichia leucophrys,Witkruingors
694,Agelaius phoeniceus,Epauletspreeuw
695,Parus major,Koolmees
696,Zonotrichia capensis,Roodkraaggors
697,Oreothlypis peregrina,404
698,Oreothlypis celata,404
699,Oreothlypis ruficapilla,404
700,Geothlypis philadelphia,Grijskopzanger
701,Geothlypis formosa,Kentuckyzanger
702,Setophaga tigrina,Tijgerzanger
703,Setophaga americana,Brilparulazanger
704,Setophaga magnolia,Magnoliazanger
705,Setophaga castanea,Kastanjezanger
706,Setophaga fusca,Sparrenzanger
707,Setophaga petechia,Mangrovezanger
708,Setophaga striata,Zwartkopzanger
709,Setophaga palmarum,Palmzanger
710,Setophaga pinus,Dennenzanger
711,Setophaga coronata,Mirtezanger
712,Setophaga dominica,Geelkeelzanger
713,Campylopterus hemileucurus,Violette sabelvleugel
714,Vireo cassinii,Cassins vireo
715,Setophaga nigrescens,Grijze zwartkeelzanger
716,Setophaga townsendi,Townsends zanger
717,Setophaga occidentalis,Heremietzanger
718,Setophaga chrysoparia,Geelwangzanger
719,Setophaga virens,Gele zwartkeelzanger
720,Cardellina canadensis,Canadese zanger
721,Cardellina rubra,Rode zanger
722,Aphelocoma coerulescens,Struikgaai
723,Melanerpes erythrocephalus,Roodkopspecht
724,Emberiza calandra,Grauwe gors
725,Acanthis flammea,Grote barmsijs
726,Spinus pinus,Dennensijs
727,Thraupis abbas,Geelvleugeltangare
728,Spinus psaltria,Witbandsijs
729,Spinus lawrencei,Maskergeelvink
730,Spinus tristis,Goudsijs
731,Threskiornis aethiopicus,Heilige ibis
732,Gygis alba,Opaalstern
733,Tachycineta bicolor,Boomzwaluw
734,Larus dominicanus dominicanus,404
735,Lonchura oryzivora,Rijstvogel
736,Haematopus palliatus,Amerikaanse bonte scholekster
737,Chloris chloris,Groenling
738,Accipiter cooperii,Coopers sperwer
739,Vireo solitarius,Brilvireo
740,Selasphorus platycercus,Breedstaartkolibrie
741,Chroicocephalus scopulinus,Roodsnavelmeeuw
742,Aechmophorus occidentalis,Zwanehalsfuut
743,Hemiphaga novaeseelandiae,Nieuw-Zeelandse vruchtenduif
744,Xema sabini,Vorkstaartmeeuw
745,Ramphastos sulfuratus,Zwavelborsttoekan
746,Dacelo novaeguineae,Kookaburra
747,Fulica atra,Meerkoet
748,Hirundo rustica erythrogaster,404
749,Calypte costae,Costa's kolibrie
750,Calypte anna,Anna's kolibrie
751,Colaptes auratus cafer,404
752,Sula nebouxii,Blauwvoetgent
753,Copsychus saularis,Dayallijster
754,Selasphorus sasin,Allens kolibrie
755,Selasphorus rufus,Rosse kolibrie
756,Calothorax lucifer,Luciferkolibrie
757,Pycnonotus barbatus,Grauwe buulbuul
758,Larus glaucescens × occidentalis,Beringmeeuw (occidentalis)
759,Aphelocoma woodhouseii,Woodhouses struikgaai
760,Florisuga mellivora,Witnekkolibrie
761,Haematopus finschi,Finsch' scholekster
762,Falcipennis canadensis,Bossneeuwhoen
763,Archilochus alexandri,Zwartkinkolibrie
764,Circus cyaneus,Blauwe kiekendief
765,Ardea alba modesta,Oosterse grote zilverreiger
766,Myiarchus crinitus,Grote kuiftiran
767,Buteo regalis,Rosse ruigpootbuizerd
768,Aeronautes saxatalis,Bonte gierzwaluw
769,Chaetura vauxi,Vaux' gierzwaluw
770,Chaetura pelagica,Schoorsteengierzwaluw
771,Setophaga pensylvanica,Roestflankzanger
772,Lanius ludovicianus,Amerikaanse klapekster
773,Anhinga anhinga,Amerikaanse slangenhalsvogel
774,Acridotheres tristis,Treurmaina
775,Sitta pygmaea,Dwergboomklever
776,Actophilornis africanus,Lelieloper
777,Sitta canadensis,Canadese boomklever
778,Sitta europaea,Boomklever
779,Sitta pusilla,Bruinkopboomklever
780,Apus apus,Gierzwaluw
781,Sturnus vulgaris,Spreeuw
782,Seiurus aurocapilla,Ovenvogel
783,Motacilla flava,Gele kwikstaart
784,Vireo griseus,Witoogvireo
785,Toxostoma longirostre,Langsnavelspotlijster
786,Calidris alba,Drieteenstrandloper
787,Toxostoma redivivum,Californische spotlijster
788,Gallinula galeata,Amerikaans waterhoen
789,Calidris himantopus,Steltstrandloper
790,Eugenes fulgens,Rivoli's kolibrie
791,Icterus wagleri,Waglers troepiaal
792,Icterus parisorum,Scotts troepiaal
793,Buteo platypterus,Breedvleugelbuizerd
794,Gallinago gallinago,Watersnip
795,Icterus spurius,Tuintroepiaal
796,Calidris minutilla,Kleinste strandloper
797,Dumetella carolinensis,Katvogel
798,Porphyrio hochstetteri,Zuidereilandtakahe
799,Calidris fuscicollis,Bonapartes strandloper
800,Phalaropus tricolor,Grote franjepoot
801,Colaptes auratus auratus,404
802,Melanotis caerulescens,Blauwe spotlijster
803,Tiaris olivaceus,Grote cubavink
804,Oreoscoptes montanus,Bergspotlijster
805,Limnodromus scolopaceus,Grote grijze snip
806,Tringa solitaria,Amerikaanse bosruiter
807,Sitta carolinensis,Witborstboomklever
808,Tringa totanus,Tureluur
809,Dendrocygna autumnalis,Zwartbuikfluiteend
810,Dendrocygna viduata,Witwangfluiteend
811,Dendrocygna bicolor,Rosse fluiteend
812,Icterus abeillei,Zwartstuittroepiaal
813,Vanellus chilensis,Chileense kievit
814,Cygnus buccinator,Trompetzwaan
815,Cygnus cygnus,Wilde zwaan
816,Cygnus columbianus,Fluitzwaan
817,Cygnus olor,Knobbelzwaan
818,Icterus galbula,Baltimoretroepiaal
819,Anas platyrhynchos,Wilde eend
820,Anas acuta,Pijlstaart (vogel)
821,Anas crecca,Wintertaling
822,Anas cyanoptera,Kaneeltaling
823,Anas fulvigula,Gevlekte eend
824,Anas discors,Blauwvleugeltaling
825,Anas strepera,Krakeend
826,Anas clypeata,Slobeend
827,Anas chlorotis,Bruine taling
828,Rhipidura leucophrys,Tuinwaaierstaart
829,Anas americana,Amerikaanse smient
830,Bucephala albeola,Buffelkopeend
831,Mergus serrator,Middelste zaagbek
832,Mergus merganser,Grote zaagbek
833,Anser anser,Grauwe gans
834,Anser albifrons,Kolgans
835,Somateria mollissima,Eider (vogel)
836,Rallus obsoletus,Californische ral
837,Platycercus elegans,Pennantrosella
838,Melanitta fusca,Grote zee-eend
839,Milvus migrans,Zwarte wouw
840,Gelochelidon nilotica,Lachstern
841,Ninox novaeseelandiae novaeseelandiae,404
842,Melanitta perspicillata,Brilzee-eend
843,Aythya collaris,Ringsnaveleend
844,Aythya ferina,Tafeleend
845,Aythya fuligula,Kuifeend
846,Numenius americanus,Amerikaanse wulp
847,Chen caerulescens,Sneeuwgans
848,Chamaea fasciata,Winterkoningmees
849,Branta canadensis,Grote Canadese gans
850,Thalasseus elegans,Sierlijke stern
851,Branta sandvicensis,Hawaiigans
852,Aythya americana,Amerikaanse tafeleend
853,Aix sponsa,Carolina-eend
854,Lophodytes cucullatus,Kokardezaagbek
855,Histrionicus histrionicus,Harlekijneend
856,Aratinga nenday,Nandayparkiet
857,Psittacara holochlorus,Groene aratinga
858,Cairina moschata,Muskuseend
859,Netta rufina,Krooneend
860,Psittacara erythrogenys,Ecuadoraratinga
861,Sayornis saya,Says phoebe
862,Aythya valisineria,Grote tafeleend
863,Picoides albolarvatus,Witkopspecht
864,Vermivora cyanoptera,Blauwvleugelzanger
865,Corvus caurinus,Bairds kraai
866,Asio otus,Ransuil
867,Corvus brachyrhynchos,Amerikaanse kraai
868,Clangula hyemalis,IJseend
869,Chenonetta jubata,Manengans
870,Thalasseus sandvicensis,Grote stern
871,Eolophus roseicapilla,Roze kaketoe
872,Colaptes rubiginosus,Olijfrugspecht
873,Meleagris gallopavo silvestris,404
874,Ptiliogonys cinereus,Grijze zijdevliegenvanger
875,Elanoides forficatus,Zwaluwstaartwouw
876,Carduelis carduelis,Putter
877,Cassiculus melanicterus,Geelvleugelbuidelspreeuw
878,Dendragapus fuliginosus,Grauw sneeuwhoen
879,Psaltriparus minimus,Struikmees
880,Aegithalos caudatus,Staartmees
881,Zosterops lateralis lateralis,404
882,Haliaeetus leucogaster,Witbuikzeearend
883,Uria aalge,Zeekoet
884,Tringa semipalmata inornatus,404
885,Alauda arvensis,Veldleeuwerik
886,Galerida cristata,Kuifleeuwerik
887,Delichon urbicum,Huiszwaluw
888,Helmitheros vermivorum,Streepkopzanger
889,Hylocharis leucotis,404
890,Mimus polyglottos,Spotlijster
891,Gymnorhina tibicen,Zwartrugfluitvogel
892,Alcedo atthis,IJsvogel
893,Streptopelia chinensis,Parelhalstortel
894,Bombycilla cedrorum,Cederpestvogel
895,Bombycilla garrulus,Pestvogel
896,Tadorna tadorna,Bergeend
897,Petroica australis australis,404
898,Amazona autumnalis,Geelwangamazone
899,Dendragapus obscurus,Blauw sneeuwhoen
900,Catherpes mexicanus,Kloofwinterkoning
901,Tadorna ferruginea,Casarca
902,Campylorhynchus brunneicapillus,Cactuswinterkoning
903,Campylorhynchus rufinucha,Veracruzwinterkoning
904,Rhipidura fuliginosa,Maoriwaaierstaart
905,Polioptila melanura,Zwartstaartmuggenvanger
906,Pelecanus occidentalis carolinensis,404
907,Melozone aberti,Zwartkintowie
908,Melozone crissalis,Californische towie
909,Thryothorus ludovicianus,Carolinawinterkoning
910,Parabuteo unicinctus,Woestijnbuizerd
911,Anas platyrhynchos domesticus,Tamme eend
912,Troglodytes aedon,Noordelijke huiswinterkoning
913,Buteo lineatus elegans,404
914,Thamnophilus doliatus,Gebandeerde mierklauwier
915,Thryomanes bewickii,Bewicks winterkoning
916,Tadorna variegata,Paradijscasarca
917,Myioborus miniatus,Meniezanger
918,Phalacrocorax varius varius,404
919,Myioborus pictus,Roodbuikzanger
920,Larus argentatus smithsonianus,Amerikaanse zilvermeeuw
921,Parkesia motacilla,Louisianawaterlijster
922,Sula granti,Nazcagent
923,Ara macao,Geelvleugelara
924,Peucaea ruficauda,Roeststaartgors
925,Calidris subruficollis,Blonde ruiter
926,Phoenicopterus roseus,Flamingo
927,Morus bassanus,Jan-van-gent
928,Pelecanus occidentalis californicus,404
929,Glaucidium brasilianum,Braziliaanse dwerguil
930,Oxyura jamaicensis,Rosse stekelstaart
931,Myiarchus cinerascens,Grijskeeltiran
932,Chloroceryle americana,Groene ijsvogel
933,Sturnella neglecta,Geelkaakweidespreeuw
934,Ramphastos ambiguus,Zwartsnaveltoekan
935,Paroaria coronata,Roodkuifkardinaal
936,Buteo buteo,Buizerd
937,Myiodynastes luteiventris,Witvoorhoofdtiran
938,Contopus sordidulus,Westelijke bospiewie
939,Corvus corone,Zwarte kraai
940,Cyanoramphus novaezelandiae,Roodvoorhoofdkakariki
941,Contopus virens,Oostelijke bospiewie
942,Contopus pertinax,Grote piewie
943,Contopus cooperi,Sparrenpiewie
944,Larus argentatus,Zilvermeeuw
945,Halcyon smyrnensis,Smyrna-ijsvogel
946,Onychognathus morio,Roodvleugelspreeuw
947,Cyanocompsa parellina,Azuurbisschop
948,Cistothorus palustris,Moeraswinterkoning
949,Tyto alba,Kerkuil
950,Trogon caligatus,Goulds trogon
951,Corvus monedula,Kauw (vogel)
952,Corvus ossifragus,Viskraai
953,Spheniscus demersus,Zwartvoetpinguïn
954,Corvus frugilegus,Roek
955,Corvus splendens,Huiskraai
956,Branta bernicla,Rotgans
957,Larus hyperboreus,Grote burgemeester
958,Columba livia domestica,Huisduif
959,Garrulus glandarius,Gaai
960,Anser anser domesticus,Boerengans
961,Mitrephanes phaeocercus,Geelbuiktiran
962,Ardenna creatopus,Chileense grote pijlstormvogel
963,Ardenna gravis,Grote pijlstormvogel
